,sw,pl,en,fr,la,nl,bs,ca,es,sk,pt,hr,it,sl,de
0,jag,ja,i,je,ego,ik,ja,jo,yo,ja,eu,ja,io,jaz,ich
1,du,ty,you ,tu,tu,jij,ti,tu,tu,ty,tu,ti,tu,ti,du
2,han,on,he,il,is,hij,on,ell,el,on,ele,on,lui,on,er
3,vi,my,we,nous,nos,wij,mi,nosaltres,nosotros,my,nos,mi,noi,mi,wir
4,ni,wy,you ,vous,vos,jullie,vi,vosaltres,vosotros,vy,vos,vi,voi,vi,ihr
5,de,oni,they,ils,ii,zij,ona,ells,ellos,ony,eles,ona,loro,oni,sie
6,det har,ten,this,ceci,hic,deze,ovo,aquest,este,to,este,ovo,questo,to,dieses
7,det dar,tamto,that,cela,ille,die,to,aquell,ese,to,aquele,to,quello,oni,jenes
8,har,tu,here,ici,hic,hier,ovdje,aqui,aqui,sem,aqui,ovdje,qui,tukaj,hier
9,dar,tam,there,la,ibi,daar,tamo,alla,ahi,tam,la,tamo,la,tam,dort
10,vem,kto,who,qui,quis,wie,ko,qui,quien,kto,quem,tko,chi,kdo,wer
11,vad,co,what,quoi,quid,wat,sta,que,que,co,que,sto,che,kaj,was
12,var,gdzie,where,ou,ubi,waar,gdje,on,donde,kde,onde,gdje,dove,kje,wo
13,nar,kiedy,when,quand,quando,wanneer,kad,quan,cuando,ked,quando,kad,quando,kdaj,wann
14,hur,jak,how,comment,quam,hoe,kako,com,como,ako,como,kako,come,kako,wie
15,inte,nie,not,ne...pas,non,niet,ne,no,no,nie,nao,ne,non,ne,nicht
16,alla,wszystko,all,tout,omnis,al,sve,tot,todo,vsetko,todo,sve,tutto,vse,alle
17,manga,mnostwo,many,plusieurs,multi,veel,mnogo,molt,muchos,vela,muito,mnogo,molti,mnogo,viele
18,nagra,troche,some,quelques,aliqui,enkele,nekoliko,algun,algunos,niekolko,algum,nekoliko,alcuni,nekoliko,einige
19,fa,niewiele,few,peu,pauci,weinig,malo,poc,poco,malo,pouco,malo,pochi,malo,wenige
20,annan,inny,other,autre,alter,ander,drugi,altre,otro,druhy,outro,ini,altro,drugi,andere
21,ett,jeden,one,un,unus,een,jedan,un,uno,jeden,um,jedan,uno,ena,eins
22,tva,dwa,two,deux,duo,twee,dva,dos,dos,dva,dois,dva,due,dve,zwei
23,tre,trzy,three,trois,tres,drie,tri,tres,tres,tri,tres,tri,tre,tri,drei
24,fyra,cztery,four,quatre,quattuor,vier,cetiri,quatre,cuatro,styri,quatro,cetiri,quattro,stiri,vier
25,fem,piec,five,cinq,quinque,vijf,pet,cinc,cinco,pat,cinco,pet,cinque,pet,funf
26,stor,wielki,big,grand,magnus,groot,velik,gran,grande,velky,grande,velik,grande,velik,gross
27,lang,dlugi,long,long,longus,lang,dug,llarg,largo,dlhy,longe,dug,lungo,dolg,lang
28,bred,szeroki,wide,large,latus,breed,sirok,ample,ancho,siroky,largo,sirok,largo,sirok,breit
29,tjock,gruby,thick,epais,creber,dik,tust,gruixut,gordo,tucny,grosso,tust,spesso,debel,dick
30,tung,ciezki,heavy,lourd,gravis,zwaar,tezak,pesat,pesado,tazky,pesado,tezak,pesante,tezek,schwer
31,liten,maly,small,petit,parvus,klein,mal,petit,pequeno,maly,pequeno,mal,piccolo,majhen,klein
32,kort,krotki,short,court,brevis,kort,kratak,curt,corto,kratky,curto,kratak,corto,kratek,kurz
33,trang,waski,narrow,etroit,angustus,smal,uzak,estret,estrecho,uzky,estreito,uzak,stretto,ozek,eng
34,tunn,cienki,thin,mince,macer,dun,tanak,prim,delgado,tenky,tenue,tanak,sottile,tanek,dunn
35,kvinna,kobieta,woman,femme,femina,vrouw,zena,dona,mujer,zena,mulher,zena,donna,zenska,frau
36,man,mezczyzna,man ,homme,vir,man,muskarac,home,hombre,muz,homem,muskarac,uomo,moski,mann
37,manniska,czlowiek,man ,homme,homo,mens,covjek,persona,hombre,clovek,homem,covjek,uomo,clovek,mensch
38,barn,dziecko,child,enfant,puer,kind,dijete,nen,nino,dieta,crianca,dijete,bambino,otrok,kind
39,hustru,malzonka,wife,femme,uxor,vrouw,zena,muller,esposa,zena,esposa,zena,moglie,zena,frau
40,man,maz,husband,mari,maritus,man,suprug,marit,esposo,manzel,esposo,suprug,marito,moz,mann
41,mamma,matka,mother,mere,mater,moeder,majka,mare,madre,matka,mae,majka,madre,mati,mutter
42,pappa,ojciec,father,pere,pater,vader,otac,pare,padre,otec,pai,otac,padre,oce,vater
43,djur,zwierze,animal,animal,animal,dier,zivotinja,animal,animal,zviera,animal,zivotinja,animale,zver,tier
44,fisk,ryba,fish,poisson,piscis,vis,riba,peix,pez,ryba,peixe,riba,pesce,riba,fisch
45,fagel,ptak,bird,oiseau,avis,vogel,ptica,ocell,ave,vtak,ave,ptica,uccello,ptica,vogel
46,hund,pies,dog,chien,canis,hond,pas,gos,perro,pes,cao,pas,cane,pes,hund
47,lus,wesz,louse,pou,pedis,luis,us,poll,piojo,vos,piolho,us,pidocchio,us,laus
48,orm,waz,snake,serpent,serpens,slang,zmija,serp,serpiente,had,cobra,zmija,serpente,kaca,schlange
49,mask,czerw,worm,ver,vermis,worm,crv,cuc,gusano,cervik,verme,crv,verme,crv,wurm
50,trad,drzewo,tree,arbre,arbor,boom,drvo,arbre,arbol,strom,arvore,drvo,albero,drevo,baum
51,skog,bor,forest,foret,silva,woud,gora,bosc,bosque,les,floresta,gora,foresta,gozd,wald
